name,types,prerequisites,description,benefit,normal,special,goal,completion_benefit,prerequisite_feats,prerequisite_skills,prerequisite_race,suggested_traits,source

Acrobatic,general,,"You are skilled at leaping, jumping, and flying.","You get a +2 bonus on all Acrobatics and Fly skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",,,,,,,,,PFRPG Core

Acrobatic Steps,general,"Dex 15, Nimble Moves.",You can easily move over and through obstacles.,"Whenever you move, you may move through up to 15 feet of difficult terrain each round as if it were normal terrain. The effects of this feat stack with those provided by Nimble Moves (allowing you to move normally through a total of 20 feet of difficult terrain each round).",,,,,Nimble Moves,,,,PFRPG Core

Agile Maneuvers,combat,,You've learned to use your quickness in place of brute force when performing combat maneuvers.,You add your Dexterity bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus (see Chapter 8) instead of your Strength bonus.,You add your Strength bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus.,,,,,,,,PFRPG Core

Alertness,general,,You often notice things that others might miss.,"You get a +2 bonus on Perception and Sense Motive skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",,,,,,,,,PFRPG Core

Alignment Channel,general,Ability to channel energy.,"Choose chaos, evil, good, or law. You can channel divine energy to affect outsiders that possess this subtype.","Instead of its normal effect, you can choose to have your ability to channel energy heal or harm outsiders of the chosen alignment subtype. You must make this choice each time you channel energy. If you choose to heal or harm creatures of the chosen alignment subtype, your channel energy has no effect on other creatures. The amount of damage healed or dealt and the DC to halve the damage is otherwise unchanged.",,"You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, it applies to a new alignment subtype. Whenever you channel energy, you must choose which type to effect.",,,,,,,PFRPG Core

Animal Affinity,general,,You are skilled at working with animals and mounts.,"You get a +2 bonus on all Handle Animal and Ride skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",,,,,,,,,PFRPG Core

Arcane Armor Mastery,combat,"Arcane Armor Training, Medium Armor Proficiency, caster level 7th.",You have mastered the ability to cast spells while wearing armor.,"As a swift action, reduce the arcane spell failure chance due to the armor you are wearing by 20% for any spells you cast this round. This bonus replaces, and does not stack with, the bonus granted by Arcane Armor Training.",,,,,"Arcane Armor Training, Medium Armor Proficiency",,,,PFRPG Core

Arcane Armor Training,combat,"Light Armor Proficiency, caster level 3rd.",You have learned how to cast spells while wearing armor.,"As a swift action, reduce the arcane spell failure chance due to the armor you are wearing by 10% for any spells you cast this round.",,,,,Light Armor Proficiency,,,,PFRPG Core

Arcane Strike,combat,Ability to cast arcane spells.,You draw upon your arcane power to enhance your weapons with magical energy.,"As a swift action, you can imbue your weapons with a fraction of your power. For 1 round, your weapons deal +1 damage and are treated as magic for the purpose of overcoming damage reduction. For every five caster levels you possess, this bonus increases by +1, to a maximum of +5 at 20th level.",,,,,,,,,PFRPG Core

Heavy Armor Proficiency,combat,"Light Armor Proficiency, Medium Armor Proficiency.",You are skilled at wearing heavy armor.,"See Armor Proficiency, Light.","See Armor Proficiency, Light.",Fighters and paladins automatically have Heavy Armor Proficiency as a bonus feat. They need not select it.,,,"Light Armor Proficiency, Medium Armor Proficiency",,,,PFRPG Core

Light Armor Proficiency,combat,,You are skilled at wearing light armor.,"When you wear a type of armor with which you are proficient, the armor check penalty for that armor applies only to Dexterity- and Strength-based skill checks.",A character who is wearing armor with which he is not proficient applies its armor check penalty to attack rolls and to all skill checks that involve moving.,"All characters except monks, sorcerers, and wizards automatically have Light Armor Proficiency as a bonus feat. They need not select it.",,,,,,,PFRPG Core

Medium Armor Proficiency,combat,Light Armor Proficiency.,You are skilled at wearing medium armor.,"See Armor Proficiency, Light.","See Armor Proficiency, Light.","Barbarians, clerics, druids, fighters, paladins, and rangers automatically have Medium Armor Proficiency as a bonus feat. They need not select it.",,,Light Armor Proficiency,,,,PFRPG Core

Athletic,general,,You possess inherent physical prowess.,"You get a +2 bonus on Climb and Swim skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.",,,,,,,,,PFRPG Core

Augment Summoning,general,Spell Focus (conjuration).,Your summoned creatures are more powerful and robust.,Each creature you conjure with any summon spell gains a +4 enhancement bonus to Strength and Constitution for the duration of the spell that summoned it.,,,,,Spell Focus,,,,PFRPG Core

Bleeding Critical,critical/combat,"Critical Focus, base attack bonus +11.",Your critical hits cause opponents to bleed profusely.,"Whenever you score a critical hit with a slashing or piercing weapon, your opponent takes 2d6 points of bleed damage (see Appendix 2) each round on his turn, in addition to the damage dealt by the critical hit. Bleed damage can be stopped by a DC 15 Heal skill check or through any magical healing. The effects of this feat stack.",,You can only apply the effects of one critical feat to a given critical hit unless you possess Critical Mastery.,,,Critical Focus,,,,PFRPG Core

Blind-Fight,combat,,You are skilled at attacking opponents that you cannot clearly perceive.,"In melee, every time you miss because of concealment (see Chapter 8), you can reroll your miss chance percentile roll one time to see if you actually hit. An invisible attacker gets no advantages related to hitting you in melee. That is, you don't lose your Dexterity bonus to Armor Class, and the attacker doesn't get the usual +2 bonus for being invisible. The invisible attacker's bonuses do still apply for ranged attacks, however. You do not need to make Acrobatics skill checks to move at full speed while blinded.","Regular attack roll modifiers for invisible attackers trying to hit you apply, and you lose your Dexterity bonus to AC. The speed reduction for darkness and poor visibility also applies.",The Blind-Fight feat is of no use against a character who is the subject of a blink spell.,,,,,,,PFRPG Core

Blinding Critical,critical/combat,"Critical Focus, base attack bonus +15.",Your critical hits blind your opponents.,"Whenever you score a critical hit, your opponent is permanently blinded. A successful Fortitude save reduces this to dazzled for 1d4 rounds. The DC of this Fortitude save is equal to 10 + your base attack bonus. This feat has no effect on creatures that do not rely on eyes for sight or creatures with more than two eyes (although multiple critical hits might cause blindness, at the GM's discretion). Blindness can be cured by heal, regeneration, remove blindness, or similar abilities.",,You can only apply the effects of one critical feat to a given critical hit unless you possess Critical Mastery.,,,Critical Focus,,,,PFRPG Core

